date_mesure,geocode_region,libelle_region,mode_transport,valeur
2022-01-01T00:00:00.000,53,Bretagne,Deux-roues motorisé,16456.08370083395
2022-01-01T00:00:00.000,02,Martinique,Marche,5503.595513401666
2022-01-01T00:00:00.000,11,Île-de-France,Voiture,2203522.945113433
2022-01-01T00:00:00.000,28,Normandie,Vélo,29545.406067235006
2022-01-01T00:00:00.000,02,Martinique,Pas de transport,3953.1793644216073
2022-01-01T00:00:00.000,52,Pays de la Loire,Vélo,72736.1714085923
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Vélo,92616.45632376951
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Pas de transport,146789.7953752432
2022-01-01T00:00:00.000,02,Martinique,Vélo,277.5765331913619
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Pas de transport,51397.97574228537
2022-01-01T00:00:00.000,94,Corse,Pas de transport,5306.21631386881
2022-01-01T00:00:00.000,32,Hauts-de-France,Voiture,1855274.1725648819
2022-01-01T00:00:00.000,76,Occitanie,Deux-roues motorisé,40505.84631228944
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Voiture,1992241.1190104543
2022-01-01T00:00:00.000,32,Hauts-de-France,Transports en commun,218971.2803859264
2022-01-01T00:00:00.000,44,Grand Est,Vélo,85141.73065032523
2022-01-01T00:00:00.000,76,Occitanie,Transports en commun,171367.10225924628
2022-01-01T00:00:00.000,02,Martinique,Transports en commun,9393.125116560048
2022-01-01T00:00:00.000,02,Martinique,Deux-roues motorisé,1534.0852084831583
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Deux-roues motorisé,42912.21626982357
2022-01-01T00:00:00.000,94,Corse,Deux-roues motorisé,4975.898761333918
2022-01-01T00:00:00.000,94,Corse,Transports en commun,3251.191104749348
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Transports en commun,152797.40181712454
2022-01-01T00:00:00.000,52,Pays de la Loire,Voiture,1288307.027006888
2022-01-01T00:00:00.000,53,Bretagne,Voiture,1129224.490880435
2022-01-01T00:00:00.000,04,La Réunion,Marche,18726.535697868243
2022-01-01T00:00:00.000,94,Corse,Voiture,118829.73005277076
2022-01-01T00:00:00.000,94,Corse,Marche,10831.834907260645
2022-01-01T00:00:00.000,32,Hauts-de-France,Deux-roues motorisé,21881.893799025616
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Vélo,48057.917355186866
2022-01-01T00:00:00.000,04,La Réunion,Transports en commun,17273.02022499715
2022-01-01T00:00:00.000,24,Centre-Val de Loire,Deux-roues motorisé,12500.44953176185
2022-01-01T00:00:00.000,52,Pays de la Loire,Marche,78654.41503143375
2022-01-01T00:00:00.000,76,Occitanie,Marche,141375.89280686202
2022-01-01T00:00:00.000,28,Normandie,Marche,79503.04542357905
