date_mesure,geocode_commune,libelle_commune,mode_transport,valeur
2022-01-01T00:00:00.000,21558,Sainte-Marie-la-Blanche,Transports en commun,24.513430004032237
2022-01-01T00:00:00.000,64464,Ribarrouy,Pas de transport,8.52631578947368
2022-01-01T00:00:00.000,80695,Sailly-Saillisel,Pas de transport,11.90841932832016
2022-01-01T00:00:00.000,63014,Aubière,Marche,254.30469459955867
2022-01-01T00:00:00.000,77083,Champs-sur-Marne,Marche,578.9484446605682
2022-01-01T00:00:00.000,23078,Faux-Mazuras,Voiture,89.52631578947377
2022-01-01T00:00:00.000,02443,Lucy-le-Bocage,Voiture,59.79487179487183
2022-01-01T00:00:00.000,28424,Yèvres,Vélo,14.75294117647059
2022-01-01T00:00:00.000,35049,Cancale,Vélo,78.48746900976032
2022-01-01T00:00:00.000,49353,Trélazé,Vélo,327.79079347320965
2022-01-01T00:00:00.000,77265,Luzancy,Marche,10.00956937799044
2022-01-01T00:00:00.000,35123,Goven,Deux-roues motorisé,36.80646176062192
2022-01-01T00:00:00.000,51609,Verneuil,Marche,4.97041420118343
2022-01-01T00:00:00.000,17112,La Clisse,Pas de transport,14.80625273282508
2022-01-01T00:00:00.000,76618,Petit-Caux,Deux-roues motorisé,35.58007353311549
2022-01-01T00:00:00.000,30068,Cardet,Marche,9.57565081022776
2022-01-01T00:00:00.000,29210,Plouvorn,Marche,15.135860157941
2022-01-01T00:00:00.000,65258,Lannemezan,Vélo,34.2889667207748
2022-01-01T00:00:00.000,27698,Vitot,Voiture,191.11594115480105
2022-01-01T00:00:00.000,53255,Sainte-Suzanne-et-Chammes,Pas de transport,39.37448559670784
2022-01-01T00:00:00.000,45178,Ladon,Transports en commun,24.764222616892972
2022-01-01T00:00:00.000,19038,Chameyrat,Marche,4.95622029505648
2022-01-01T00:00:00.000,89196,Valravillon,Marche,20.16813529390206
2022-01-01T00:00:00.000,22241,Plumieux,Deux-roues motorisé,9.93975008978723
2022-01-01T00:00:00.000,21623,Tart,Pas de transport,20.10491803278688
2022-01-01T00:00:00.000,69292,Sathonay-Camp,Deux-roues motorisé,59.878991596638606
2022-01-01T00:00:00.000,10161,Fresnay,Pas de transport,11.11111111111112
2022-01-01T00:00:00.000,54090,Bouxières-aux-Dames,Transports en commun,59.90909090909089
2022-01-01T00:00:00.000,02508,Monthenault,Voiture,44.13043478260872
2022-01-01T00:00:00.000,08381,Saint-Germainmont,Pas de transport,9.60613223479336
2022-01-01T00:00:00.000,83143,Le Val,Pas de transport,39.966087039639376
2022-01-01T00:00:00.000,71275,Marcigny,Transports en commun,19.86927840884121
2022-01-01T00:00:00.000,17430,Soubran,Pas de transport,4.83022493237741
2022-01-01T00:00:00.000,84069,Malaucène,Deux-roues motorisé,10.069585260518728
2022-01-01T00:00:00.000,86189,Payroux,Transports en commun,14.80257185780795
2022-01-01T00:00:00.000,88468,Le Thillot,Vélo,15.06456953642385
2022-01-01T00:00:00.000,47031,Boé,Transports en commun,133.952805419021
2022-01-01T00:00:00.000,91685,Villiers-sur-Orge,Deux-roues motorisé,69.8625954198473
2022-01-01T00:00:00.000,78536,Sailly,Transports en commun,12.83717842434522
2022-01-01T00:00:00.000,77394,Rubelles,Marche,35.0978260869565
2022-01-01T00:00:00.000,25185,Cussey-sur-Lison,Voiture,30.71551443080724
2022-01-01T00:00:00.000,30317,Sernhac,Marche,5.21576767329389
2022-01-01T00:00:00.000,60063,Berneuil-en-Bray,Voiture,336.6441717791408
2022-01-01T00:00:00.000,07163,Montselgues,Marche,5.66666666666667
2022-01-01T00:00:00.000,42201,Saint-Appolinard,Pas de transport,10.19501438379479
2022-01-01T00:00:00.000,55355,Montzéville,Vélo,5.31034482758621
2022-01-01T00:00:00.000,80801,Villers-Carbonnel,Pas de transport,14.74323107563983
2022-01-01T00:00:00.000,71530,Sully,Transports en commun,4.70192307692308
2022-01-01T00:00:00.000,17147,Écoyeux,Voiture,585.6860119008223
2022-01-01T00:00:00.000,72314,Saint-Pierre-du-Lorouër,Marche,9.8501430403428
2022-01-01T00:00:00.000,07314,Silhac,Deux-roues motorisé,5.4259851088652
2022-01-01T00:00:00.000,60688,Villers-sur-Bonnières,Vélo,5.18518518518519
2022-01-01T00:00:00.000,57325,Hilsprich,Transports en commun,15.006004004806
2022-01-01T00:00:00.000,26086,Châtillon-en-Diois,Transports en commun,9.63487858047114
2022-01-01T00:00:00.000,2A142,Levie,Pas de transport,9.910839664314096
2022-01-01T00:00:00.000,89013,Appoigny,Transports en commun,34.75294117647058
2022-01-01T00:00:00.000,50629,Vesly,Voiture,303.22529355608106
2022-01-01T00:00:00.000,63388,Saint-Priest-des-Champs,Deux-roues motorisé,4.87754064729215
2022-01-01T00:00:00.000,26144,Grane,Vélo,14.49151085533911
2022-01-01T00:00:00.000,67260,Laubach,Transports en commun,5.1862130134651
2022-01-01T00:00:00.000,31232,Grenade,Marche,148.11550833559158
2022-01-01T00:00:00.000,11382,Souilhanels,Voiture,164.23897769929195
2022-01-01T00:00:00.000,34299,Sérignan,Deux-roues motorisé,24.952124476361448
2022-01-01T00:00:00.000,62158,Boubers-sur-Canche,Pas de transport,4.98982300348679
2022-01-01T00:00:00.000,30047,Bouillargues,Voiture,2275.229683925217
2022-01-01T00:00:00.000,62268,Desvres,Deux-roues motorisé,4.99189466875975
2022-01-01T00:00:00.000,28418,Villiers-Saint-Orien,Voiture,75.9375
2022-01-01T00:00:00.000,03216,Ronnet,Voiture,72.79999999999998
2022-01-01T00:00:00.000,78160,Chevreuse,Voiture,1907.7215766572376
2022-01-01T00:00:00.000,66076,Feilluns,Voiture,10.9090909090909
2022-01-01T00:00:00.000,46310,Soulomès,Voiture,59.6206896551725
2022-01-01T00:00:00.000,56172,Plumelec,Deux-roues motorisé,15.32120457297961
2022-01-01T00:00:00.000,88028,La Baffe,Transports en commun,4.55963482852901
2022-01-01T00:00:00.000,38045,Biviers,Deux-roues motorisé,25.16087665853234
2022-01-01T00:00:00.000,24052,Bouillac,Pas de transport,18.92307692307692
2022-01-01T00:00:00.000,10031,Barbuise,Pas de transport,15.574413897997438
2022-01-01T00:00:00.000,24555,Tourtoirac,Pas de transport,9.96738516845234
2022-01-01T00:00:00.000,62040,Arques,Pas de transport,92.29136486718595
2022-01-01T00:00:00.000,38400,Saint-Jean-de-Moirans,Transports en commun,260.21656062700566
2022-01-01T00:00:00.000,01071,Cessy,Voiture,2468.6081661569674
2022-01-01T00:00:00.000,02376,Hauteville,Pas de transport,16.72727272727274
2022-01-01T00:00:00.000,77284,Meaux,Voiture,11037.787202836043
2022-01-01T00:00:00.000,84133,La Tour-d'Aigues,Voiture,1469.1729568730784
2022-01-01T00:00:00.000,22251,Pordic,Transports en commun,162.29064463560263
2022-01-01T00:00:00.000,91659,Villabé,Deux-roues motorisé,32.55874711551278
2022-01-01T00:00:00.000,89072,Champcevrais,Pas de transport,27.08333333333335
2022-01-01T00:00:00.000,11083,Caunettes-en-Val,Pas de transport,5.6
2022-01-01T00:00:00.000,78646,Versailles,Deux-roues motorisé,1134.3140569733075
2022-01-01T00:00:00.000,68355,Waldighofen,Marche,25.38709430361051
2022-01-01T00:00:00.000,12083,Cransac,Marche,10.18686513610793
2022-01-01T00:00:00.000,39059,Bois-d'Amont,Voiture,805.0598097979492
2022-01-01T00:00:00.000,14367,Lison,Voiture,132.88253240741017
2022-01-01T00:00:00.000,02121,Breny,Pas de transport,5.21428571428572
2022-01-01T00:00:00.000,58088,Coulanges-lès-Nevers,Vélo,39.86991869918696
2022-01-01T00:00:00.000,57663,Talange,Voiture,2934.6016145623994
2022-01-01T00:00:00.000,41077,Épiais,Voiture,41.19230769230772
2022-01-01T00:00:00.000,29006,Bénodet,Vélo,14.992010652463378
2022-01-01T00:00:00.000,16379,Taponnat-Fleurignac,Deux-roues motorisé,14.111874429590129
2022-01-01T00:00:00.000,24416,Saint-Germain-de-Belvès,Marche,9.51351351351352
2022-01-01T00:00:00.000,63204,Malintrat,Transports en commun,5.19786432020096
2022-01-01T00:00:00.000,18003,Les Aix-d'Angillon,Deux-roues motorisé,4.894846260753
2022-01-01T00:00:00.000,79329,Thouars,Deux-roues motorisé,137.38930139355176
2022-01-01T00:00:00.000,86142,Maillé,Pas de transport,19.70484270141827
2022-01-01T00:00:00.000,78262,Galluis,Pas de transport,14.48717452568405
2022-01-01T00:00:00.000,40075,Castets,Transports en commun,14.95352389553219
2022-01-01T00:00:00.000,74111,Entrevernes,Deux-roues motorisé,9.85
2022-01-01T00:00:00.000,30292,Saint-Pons-la-Calm,Marche,4.77142857142857
2022-01-01T00:00:00.000,70004,Adelans-et-le-Val-de-Bithaine,Voiture,144.4026922882976
2022-01-01T00:00:00.000,52320,Merrey,Voiture,30.666666666666657
2022-01-01T00:00:00.000,87099,Moissannes,Transports en commun,4.64510817720805
2022-01-01T00:00:00.000,77514,Villeparisis,Transports en commun,3698.827309679472
2022-01-01T00:00:00.000,02047,Barenton-Cel,Vélo,5.4
2022-01-01T00:00:00.000,49076,La Chapelle-Saint-Laud,Pas de transport,30.18404907975462
2022-01-01T00:00:00.000,52282,Leffonds,Marche,5.06481006017218
2022-01-01T00:00:00.000,39533,Toulouse-le-Château,Pas de transport,9.923273312201172
2022-01-01T00:00:00.000,59123,Camphin-en-Carembault,Transports en commun,70.21971683303299
2022-01-01T00:00:00.000,68256,Pfastatt,Voiture,3373.164891308886
2022-01-01T00:00:00.000,66102,Mantet,Marche,11.66666666666666
2022-01-01T00:00:00.000,80721,Saint-Valery-sur-Somme,Transports en commun,50.891460916479
2022-01-01T00:00:00.000,47009,Andiran,Voiture,116.3529411764705
2022-01-01T00:00:00.000,40056,Brocas,Marche,25.431654676259
2022-01-01T00:00:00.000,46204,Montfaucon,Marche,34.36434785370787
2022-01-01T00:00:00.000,91121,Buno-Bonnevaux,Transports en commun,19.92380952380952
2022-01-01T00:00:00.000,29247,Saint-Évarzec,Transports en commun,20.71663290278387
2022-01-01T00:00:00.000,69008,Ancy,Voiture,293.3410653555558
2022-01-01T00:00:00.000,89059,Bussy-en-Othe,Marche,25.676399776484732
2022-01-01T00:00:00.000,11397,Trèbes,Pas de transport,24.8152606492024
2022-01-01T00:00:00.000,12059,Castanet,Pas de transport,52.50972161596285
2022-01-01T00:00:00.000,33341,Pugnac,Pas de transport,34.05729574026691
2022-01-01T00:00:00.000,24267,Mescoules,Voiture,78.52941176470588
2022-01-01T00:00:00.000,21635,Thoste,Voiture,24.04761904761905
2022-01-01T00:00:00.000,11202,Leucate,Marche,155.14313373529973
2022-01-01T00:00:00.000,65082,Berbérust-Lias,Voiture,8.0
2022-01-01T00:00:00.000,52182,Éclaron-Braucourt-Sainte-Livière,Vélo,4.97929116047311
2022-01-01T00:00:00.000,73261,Saint-Michel-de-Maurienne,Voiture,794.1637724249648
2022-01-01T00:00:00.000,76398,Louvetot,Marche,9.59162997881981
2022-01-01T00:00:00.000,38030,Beaucroissant,Transports en commun,48.948961426978606
2022-01-01T00:00:00.000,57041,Aumetz,Vélo,4.94409937888199
2022-01-01T00:00:00.000,18084,Dampierre-en-Crot,Voiture,35.03164929742674
2022-01-01T00:00:00.000,60346,Lamorlaye,Vélo,54.89024390243899
2022-01-01T00:00:00.000,31038,Azas,Pas de transport,10.18462099243112
2022-01-01T00:00:00.000,26177,Marsaz,Marche,5.49692645635611
2022-01-01T00:00:00.000,51199,Cuchery,Pas de transport,10.701427809853
2022-01-01T00:00:00.000,46012,Aynac,Voiture,209.04954820283214
2022-01-01T00:00:00.000,27246,Fleury-sur-Andelle,Transports en commun,15.0
2022-01-01T00:00:00.000,63276,Peschadoires,Voiture,694.6752706429587
2022-01-01T00:00:00.000,59368,La Madeleine,Voiture,5235.515093150346
2022-01-01T00:00:00.000,68146,Houssen,Pas de transport,35.78090956257714
2022-01-01T00:00:00.000,51028,Avenay-Val-d'Or,Pas de transport,40.56140350877192
2022-01-01T00:00:00.000,80318,Flixecourt,Vélo,5.04337239608662
2022-01-01T00:00:00.000,11370,Salles-d'Aude,Vélo,10.19590462003697
2022-01-01T00:00:00.000,2A357,Zérubia,Marche,2.7600000000000002
2022-01-01T00:00:00.000,34174,Moulès-et-Baucels,Pas de transport,20.43820521803341
2022-01-01T00:00:00.000,62261,Cucq,Vélo,80.01570166830224
2022-01-01T00:00:00.000,02270,Douchy,Pas de transport,5.48275862068966
2022-01-01T00:00:00.000,62188,Burbure,Vélo,10.04224883425826
2022-01-01T00:00:00.000,08451,Le Thour,Voiture,124.63839428452668
2022-01-01T00:00:00.000,27602,Saint-Sébastien-de-Morsent,Transports en commun,191.02317849754343
2022-01-01T00:00:00.000,48005,Antrenas,Pas de transport,4.88235294117647
2022-01-01T00:00:00.000,67254,Kutzenhausen,Voiture,351.5324999918526
2022-01-01T00:00:00.000,71505,Savianges,Pas de transport,11.42857142857142
2022-01-01T00:00:00.000,59657,West-Cappel,Voiture,229.39716745987053
2022-01-01T00:00:00.000,50098,Carantilly,Marche,5.10754464440569
2022-01-01T00:00:00.000,63132,Cunlhat,Marche,135.57068864100674
2022-01-01T00:00:00.000,14482,Ouézy,Marche,5.04347826086957
2022-01-01T00:00:00.000,23147,Nouzerolles,Pas de transport,5.10526315789474
2022-01-01T00:00:00.000,16255,Parzac,Voiture,35.250000000000036
2022-01-01T00:00:00.000,30150,Logrian-Florian,Pas de transport,5.15810370636809
2022-01-01T00:00:00.000,28225,Magny,Pas de transport,5.06352212678256
2022-01-01T00:00:00.000,17197,Jonzac,Transports en commun,14.925032911600681
2022-01-01T00:00:00.000,31025,Aureville,Marche,9.89391503766736
2022-01-01T00:00:00.000,60295,Halloy,Transports en commun,5.32857536972492
2022-01-01T00:00:00.000,70494,Sornay,Pas de transport,21.13432835820896
2022-01-01T00:00:00.000,65426,Sinzos,Voiture,77.06666666666662
2022-01-01T00:00:00.000,46213,Padirac,Voiture,66.08333333333329
2022-01-01T00:00:00.000,62341,Foncquevillers,Marche,9.15358965517114
2022-01-01T00:00:00.000,14038,Banville,Voiture,359.8717948717948
2022-01-01T00:00:00.000,71041,Bois-Sainte-Marie,Voiture,30.6109453890297
2022-01-01T00:00:00.000,07278,Saint-Michel-de-Chabrillanoux,Marche,4.68656743989727
2022-01-01T00:00:00.000,09167,Lézat-sur-Lèze,Marche,60.16978229714883
2022-01-01T00:00:00.000,61053,Bonsmoulins,Transports en commun,14.833975076551969
2022-01-01T00:00:00.000,30129,Générargues,Deux-roues motorisé,4.69620097334991
2022-01-01T00:00:00.000,38124,Corbelin,Deux-roues motorisé,4.97478991596639
2022-01-01T00:00:00.000,54187,Euvezin,Pas de transport,5.09523809523809
2022-01-01T00:00:00.000,80241,Domart-en-Ponthieu,Transports en commun,9.6905512514853
2022-01-01T00:00:00.000,71109,Chassey-le-Camp,Voiture,164.50704225352132
2022-01-01T00:00:00.000,41259,Thoré-la-Rochette,Pas de transport,19.73796155863679
2022-01-01T00:00:00.000,47100,Foulayronnes,Pas de transport,65.72419994727449
2022-01-01T00:00:00.000,47174,Moncrabeau,Vélo,5.2514648424236
2022-01-01T00:00:00.000,60178,Crèvecœur-le-Grand,Pas de transport,54.244585177274374
2022-01-01T00:00:00.000,62648,Parenty,Marche,19.3391304347826
2022-01-01T00:00:00.000,19173,Rilhac-Xaintrie,Marche,15.77186476695292
2022-01-01T00:00:00.000,70467,Saint-Loup-sur-Semouse,Voiture,605.8839779005522
2022-01-01T00:00:00.000,50493,Saint-Jean-des-Champs,Pas de transport,30.239202657807304
2022-01-01T00:00:00.000,50108,Céaux,Pas de transport,20.292179978003382
2022-01-01T00:00:00.000,55169,Écouviez,Pas de transport,19.73095800683304
2022-01-01T00:00:00.000,01173,Gex,Vélo,92.48599607150148
2022-01-01T00:00:00.000,24379,Saint-Avit-Sénieur,Pas de transport,29.459980758593893
2022-01-01T00:00:00.000,63043,Blot-l'Église,Pas de transport,30.44678210396741
2022-01-01T00:00:00.000,77453,Sivry-Courtry,Transports en commun,55.12106681292602
2022-01-01T00:00:00.000,55446,Rumont,Pas de transport,5.6
2022-01-01T00:00:00.000,42147,Montbrison,Pas de transport,204.67658558654261
2022-01-01T00:00:00.000,17136,Croix-Chapeau,Pas de transport,24.40689330613404
2022-01-01T00:00:00.000,59410,Mons-en-Barœul,Deux-roues motorisé,71.66464325301683
2022-01-01T00:00:00.000,64331,Lembeye,Voiture,207.78039009217343
2022-01-01T00:00:00.000,63086,La Chapelle-Agnon,Voiture,103.5862354547262
2022-01-01T00:00:00.000,82080,Labastide-du-Temple,Marche,10.26294682004362
2022-01-01T00:00:00.000,43132,Mazeyrat-d'Allier,Vélo,4.37652486070308
2022-01-01T00:00:00.000,04241,Villemus,Pas de transport,10.72222222222222
2022-01-01T00:00:00.000,08016,Aouste,Pas de transport,5.31578947368421
2022-01-01T00:00:00.000,89267,Montréal,Voiture,38.38539153469104
2022-01-01T00:00:00.000,70303,Liévans,Marche,5.13333333333333
2022-01-01T00:00:00.000,87170,Saint-Méard,Deux-roues motorisé,4.89333333333333
2022-01-01T00:00:00.000,45210,Montbouy,Voiture,237.1647556653286
2022-01-01T00:00:00.000,10336,Saint-Benoît-sur-Seine,Transports en commun,8.79845188920816
2022-01-01T00:00:00.000,21607,Seurre,Transports en commun,24.65435504431746
2022-01-01T00:00:00.000,83079,La Môle,Marche,31.13521818814006
2022-01-01T00:00:00.000,73039,Belmont-Tramonet,Transports en commun,9.07422575945528
2022-01-01T00:00:00.000,02383,Homblières,Pas de transport,20.2846975088968
2022-01-01T00:00:00.000,33325,Plassac,Marche,20.085219641240947
2022-01-01T00:00:00.000,33257,Lugaignac,Voiture,211.57954545454567
2022-01-01T00:00:00.000,68153,Illhaeusern,Marche,14.979166666666679
2022-01-01T00:00:00.000,58084,Corvol-d'Embernard,Marche,5.52380952380952
2022-01-01T00:00:00.000,46312,Strenquels,Marche,4.77250786719062
